gc_orgID,Parent GC OrgID,Harmonized GC Name,lead_department,ministère_responsable,gc_orgID.1,lead department
2258,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
2225,2225,Department of Finance Canada,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
2259,2225,Financial Consumer Agency of Canada,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
2260,2225,Financial Transactions and Reports Analysis Centre of Canada,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
2270,2225,Office of the Auditor General of Canada,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
2280,2225,Office of the Superintendent of Financial Institutions Canada,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
3633,2225,Bank of Canada,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
3634,2225,Canada Deposit Insurance Corporation,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
3635,2225,Canada Development Investment Corporation,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
3636,2225,Canada Pension Plan Investment Board,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
3637,2225,Royal Canadian Mint,Department of Finance Canada,Ministère des Finances Canada,2225.0,Department of Finance Canada
2226,2226,Fisheries and Oceans Canada,Fisheries and Oceans Canada,Pêches et Océans Canada,2226.0,Fisheries and Oceans Canada
3533,2226,Canadian Coast Guard,Fisheries and Oceans Canada,Pêches et Océans Canada,2226.0,Fisheries and Oceans Canada
3638,2226,Freshwater Fish Marketing Corporation,Fisheries and Oceans Canada,Pêches et Océans Canada,2226.0,Fisheries and Oceans Canada
2227,2227,Global Affairs Canada,Global Affairs Canada,Affaires mondiales Canada,2227.0,Global Affairs Canada
2317,2227,Invest in Canada Hub,Global Affairs Canada,Affaires mondiales Canada,2227.0,Global Affairs Canada
3639,2227,Canadian Commercial Corporation,Global Affairs Canada,Affaires mondiales Canada,2227.0,Global Affairs Canada
3640,2227,Export Development Canada,Global Affairs Canada,Affaires mondiales Canada,2227.0,Global Affairs Canada
3641,2227,International Development Research Centre,Global Affairs Canada,Affaires mondiales Canada,2227.0,Global Affairs Canada
2228,2228,Health Canada,Health Canada,Santé Canada,2228.0,Health Canada
2283,2228,Patented Medicine Prices Review Board Canada,Health Canada,Santé Canada,2228.0,Health Canada
2285,2228,Public Health Agency of Canada,Health Canada,Santé Canada,2228.0,Health Canada
2306,2228,Canadian Food Inspection Agency,Health Canada,Santé Canada,2228.0,Health Canada
2307,2228,Canadian Institutes of Health Research,Health Canada,Santé Canada,2228.0,Health Canada
2269,2269,"Housing, Infrastructure and Communities Canada","Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0,"Housing, Infrastructure and Communities Canada"
3631,2269,Canada Mortgage and Housing Corporation,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0,"Housing, Infrastructure and Communities Canada"
3642,2269,Canada Infrastructure Bank,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0,"Housing, Infrastructure and Communities Canada"
3643,2269,The Jacques-Cartier and Champlain Bridges Inc.,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0,"Housing, Infrastructure and Communities Canada"
3644,2269,Windsor-Detroit Bridge Authority,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0,"Housing, Infrastructure and Communities Canada"
3645,,PPP Canada Inc.,,,,
2224,2224,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",2224.0,"Immigration, Refugees and Citizenship Canada"
2261,2224,Immigration and Refugee Board of Canada,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",2224.0,"Immigration, Refugees and Citizenship Canada"
2243,2243,Indigenous Services Canada,Indigenous Services Canada,Services aux Autochtones Canada,2243.0,Indigenous Services Canada
2299,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
2251,2231,Canadian Space Agency,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2254,2231,Copyright Board Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2293,2231,Statistics Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2313,2231,National Research Council Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2314,2231,Natural Sciences and Engineering Research Council of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2316,2231,Social Sciences and Humanities Research Council of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3537,2231,Canadian Intellectual Property Office,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3542,2231,Measurement Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3546,2231,Industrial Technologies Office,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3646,2231,Business Development Bank of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3647,2231,Canadian Tourism Commission,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3648,2231,Standards Council of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2231,2231,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
3564,2231,Competition Tribunal,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0,"Innovation, Science and Economic Development Canada"
2247,2232,Canadian Human Rights Commission,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2256,2232,Courts Administration Service,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2272,2232,Office of the Commissioner for Federal Judicial Affairs Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2277,2232,Public Prosecution Service of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2281,2232,Office of the Information Commissioner,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2282,2232,Office of the Privacy Commissioner of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2287,2232,Registrar of the Supreme Court of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2297,2232,Administrative Tribunals Support Service of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2310,2232,Law Commission of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
3571,2232,Office of the Federal Ombudsperson for Victims Of Crime,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
3683,2232,Canadian Human Rights Tribunal,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2232,2232,Department of Justice Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0,Department of Justice Canada
2305,2229,Canadian Centre for Occupational Health and Safety,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0,Employment and Social Development Canada
3680,2229,Canada Industrial Relations Board,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0,Employment and Social Development Canada
2233,2233,National Defence,National Defence,Défense nationale,2233.0,National Defence
2253,2233,Communications Security Establishment Canada,National Defence,Défense nationale,2233.0,National Defence
2263,2233,Military Grievances External Review Committee,National Defence,Défense nationale,2233.0,National Defence
2264,2233,Military Police Complaints Commission of Canada,National Defence,Défense nationale,2233.0,National Defence
3535,2233,Canadian Forces Housing Agency,National Defence,Défense nationale,2233.0,National Defence
3540,2233,Defence Research and Development Canada,National Defence,Défense nationale,2233.0,National Defence
3557,2233,Canadian Army,National Defence,Défense nationale,2233.0,National Defence
2303,2303,Canada Revenue Agency,Canada Revenue Agency,Agence du revenu du Canada,2303.0,Canada Revenue Agency
3594,2303,Office of the Taxpayers' Ombudsperson,Canada Revenue Agency,Agence du revenu du Canada,2303.0,Canada Revenue Agency
2268,2234,Northern Pipeline Agency Canada,Natural Resources Canada,Ressources naturelles Canada,2234.0,Natural Resources Canada
2308,2234,Canadian Nuclear Safety Commission,Natural Resources Canada,Ressources naturelles Canada,2234.0,Natural Resources Canada
2312,2234,Canada Energy Regulator,Natural Resources Canada,Ressources naturelles Canada,2234.0,Natural Resources Canada
3424,2234,Energy Supplies Allocation Board,Natural Resources Canada,Ressources naturelles Canada,2234.0,Natural Resources Canada
3649,2234,Atomic Energy of Canada Limited,Natural Resources Canada,Ressources naturelles Canada,2234.0,Natural Resources Canada
2240,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
2249,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
3587,2284,Public Servants Disclosure Protection Tribunal Canada,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2275,2284,Office of the Intelligence Commissioner,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2278,2284,Office of the Secretary to the Governor General,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2284,2284,Privy Council Office,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2286,2284,Public Service Commission of Canada,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2291,2284,National Security and Intelligence Review Agency Secretariat,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2295,2284,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2309,2284,Transportation Safety Board of Canada,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
3586,2284,Prime Minister of Canada,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2235,2235,Public Safety Canada,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2248,2284,Canadian Intergovernmental Conference Secretariat,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2250,2235,Canadian Security Intelligence Service,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2255,2235,Correctional Service Canada,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2267,2235,Parole Board of Canada,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2274,2284,Office of the Commissioner of Official Languages,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2276,2235,The Correctional Investigator Canada,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2288,2235,Royal Canadian Mounted Police,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2289,2235,RCMP External Review Committee,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2290,2235,Civilian Review and Complaints Commission for the RCMP,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2296,2284,Leaders' Debates Commission,Privy Council Office,Bureau du Conseil privé,2284.0,Privy Council Office
2300,2235,Canada Border Services Agency,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
3539,2235,CORCAN,Public Safety Canada,Sécurité publique Canada,2235.0,Public Safety Canada
2236,2236,Public Services and Procurement Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
2292,2236,Shared Services Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
3544,2236,Translation Bureau,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
3585,2236,Office of the Procurement Ombudsman,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
3650,2236,Canada Lands Company Limited,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
3651,2236,Canada Post Corporation,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
3652,2236,Defence Construction (1951) Limited,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
3653,2236,National Capital Commission,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0,Public Services and Procurement Canada
2244,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
2257,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
2238,2238,Transport Canada,Transport Canada,Transports Canada,2238.0,Transport Canada
2252,2238,Canadian Transportation Agency,Transport Canada,Transports Canada,2238.0,Transport Canada
3654,2238,Atlantic Pilotage Authority,Transport Canada,Transports Canada,2238.0,Transport Canada
3655,2238,Canadian Air Transport Security Authority,Transport Canada,Transports Canada,2238.0,Transport Canada
3656,2238,Great Lakes Pilotage Authority,Transport Canada,Transports Canada,2238.0,Transport Canada
3657,2238,Laurentian Pilotage Authority,Transport Canada,Transports Canada,2238.0,Transport Canada
3658,2238,Marine Atlantic Inc.,Transport Canada,Transports Canada,2238.0,Transport Canada
3659,2238,Pacific Pilotage Authority,Transport Canada,Transports Canada,2238.0,Transport Canada
3660,2238,Ridley Terminals Inc.,Transport Canada,Transports Canada,2238.0,Transport Canada
3661,2238,The Federal Bridge Corporation Limited,Transport Canada,Transports Canada,2238.0,Transport Canada
3662,2238,VIA Rail Canada Inc.,Transport Canada,Transports Canada,2238.0,Transport Canada
3697,2238,Transportation Appeal Tribunal of Canada,Transport Canada,Transports Canada,2238.0,Transport Canada
2242,2242,Treasury Board of Canada Secretariat,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0,Treasury Board of Canada Secretariat
2273,2242,Office of the Commissioner of Lobbying of Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0,Treasury Board of Canada Secretariat
2279,2242,Office of the Public Sector Integrity Commissioner of Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0,Treasury Board of Canada Secretariat
2304,2242,Canada School of Public Service,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0,Treasury Board of Canada Secretariat
3663,2242,Public Sector Pension Investment Board,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0,Treasury Board of Canada Secretariat
2294,2239,Veterans Review and Appeal Board,Veterans Affairs Canada,Anciens Combattants Canada,2239.0,Veterans Affairs Canada
3595,2239,Office of the Veterans' Ombudsman,Veterans Affairs Canada,Anciens Combattants Canada,2239.0,Veterans Affairs Canada
2239,2239,Veterans Affairs Canada,Veterans Affairs Canada,Anciens Combattants Canada,2239.0,Veterans Affairs Canada
2241,2241,Women and Gender Equality Canada,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,2241.0,Women and Gender Equality Canada
2271,,Elections Canada,,,,
2319,,Accessibility Standards Canada,,,,
3399,,African Development Bank,,,,
3400,,Asian Development Bank,,,,
3401,,Caribbean Development Bank,,,,
3402,,European Bank for Reconstruction and Development,,,,
3403,,Inter-American Development Bank,,,,
3404,,International Bank for Reconstruction and Development,,,,
3405,,International Development Association,,,,
3406,,International Finance Corporation,,,,
3407,,International Joint Commission (Canadian Section),,,,
3408,,International Lake Memphremagog Levels Board,,,,
3409,,International Lake of the Woods Control Board,,,,
3410,,International Monetary Fund,,,,
3411,,Multilateral Investment Guarantee Agency,,,,
3412,,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,,,
3413,,World Anti-Doping Agency,,,,
3414,,Asian Infrastructure Investment Bank,,,,
3415,,Lower Churchill Development Corporation Limited,,,,
3416,,North Portage Development Corporation (operating as The Forks North Portage Partnership),,,,
3417,,Communication Canada,,,,
3418,,Office of the Superintendent of Bankruptcy,,,,
3419,,Prairie Farm Rehabilitation Administration,,,,
3420,,Commissioner of Canada Election,,,,
3421,,Canada Investment and Savings,,,,
3422,,Director of Soldier Settlement,,,,
3423,,"The Director, The Veterans' Land Act",,,,
3425,,"Staff of the Non-Public Funds, Canadian Forces",,,,
3426,,Statistics Survey Operations,,,,
3427,,Federal Judges not part of any department,,,,
3428,,House of Commons,,,,
3429,,Library of Parliament,,,,
3430,,Office of the Conflict of Interest and Ethics Commissioner,,,,
3431,,Senate Ethics Officer,,,,
3432,,Senate,,,,
3433,,Office of the Parliamentary Budget Officer,,,,
3434,,Parliamentary Protective Service,,,,
3435,,Aéroport de Québec Inc.,,,,
3436,,Aéroports de Montréal,,,,
3437,,Asia-Pacific Foundation of Canada,,,,
3438,,Association of Canada Lands Surveyors,,,,
3439,,Belledune Port Authority,,,,
3440,,Buffalo and Fort Erie Public Bridge Authority,,,,
3441,,Calgary Airport Authority,,,,
3442,,WinSport,,,,
3443,,Canada Foundation for Innovation,,,,
3444,,Canada Foundation for Sustainable Development Technology,,,,
3445,,Canada Games Council,,,,
3446,,Canada Health Infoway Inc.,,,,
3447,,Canada Media Fund,,,,
3448,,Canada-Newfoundland and Labrador Offshore Petroleum Board,,,,
3449,,Canada-Nova Scotia Offshore Petroleum Board,,,,
3450,,Canadian Agency for Drugs and Technologies in Health (CADTH),,,,
3451,,Canadian Centre on Substance Use and Addictions,,,,
3452,,Canadian Energy Research Institute,,,,
3453,,Canadian Institute for Health Information (CIHI),,,,
3454,,Canadian Livestock Records Corporation,,,,
3455,,Canadian Partnership Against Cancer Corporation (CPAC),,,,
3456,,Canadian Patient Safety Institute (CPSI),,,,
3457,,Canadian Sport Institute Ontario,,,,
3458,,Charlottetown Airport Authority Inc.,,,,
3459,,Coaching Association of Canada,,,,
3461,,Edmonton Regional Airports Authority,,,,
3462,,Fredericton International Airport Authority Inc.,,,,
3463,,Gander International Airport Authority Inc.,,,,
3464,,Greater London International Airport Authority,,,,
3465,,Greater Moncton International Airport Authority Inc.,,,,
3466,,Greater Toronto Airports Authority,,,,
3467,,Halifax International Airport Authority,,,,
3468,,Halifax Port Authority,,,,
3469,,Hamilton Port Authority,,,,
3470,,Institut national du sport du Québec,,,,
3471,,Internal Trade Secretariat Corporation,,,,
3472,,International Fisheries Commissions Pension Society,,,,
3473,,Lake of the Woods Control Board,,,,
3474,,Maritime Forestry Complex Corporation,,,,
3475,,Mental Health Commission of Canada (MHCC),,,,
3476,,Milit-Air Inc.,,,,
3477,,Montréal Port Authority,,,,
3478,,Nanaimo Port Authority,,,,
3479,,"Nature Trust of British Columbia, The",,,,
3480,,NAV CANADA,,,,
3481,,Oshawa Port Authority,,,,
3482,,Ottawa International Airport Authority,,,,
3483,,Ouranos Consortium,,,,
3484,,"Pierre Elliott Trudeau Foundation, The",,,,
3485,,Porcupine Caribou Management Board,,,,
3486,,Port Alberni Port Authority,,,,
3488,,Prince George Airport Authority Inc.,,,,
3489,,Prince Rupert Port Authority,,,,
3490,,Québec Port Authority,,,,
3491,,Regina Airport Authority Inc.,,,,
3492,,Roosevelt Campobello International Park Commission,,,,
3493,,Saguenay Port Authority,,,,
3494,,Saint John Airport Inc.,,,,
3495,,Saint John Port Authority,,,,
3496,,Saskatoon Airport Authority,,,,
3497,,Sept-Îles Port Authority,,,,
3498,,Sport Dispute Resolution Centre of Canada,,,,
3499,,St. John's International Airport Authority,,,,
3500,,St. John's Port Authority,,,,
3501,,St. Lawrence Seaway Management Corporation,,,,
3502,,Terry Fox Humanitarian Award Inc.,,,,
3503,,Thunder Bay International Airports Authority Inc.,,,,
3504,,Thunder Bay Port Authority,,,,
3506,,Toronto Port Authority,,,,
3507,,Trois-Rivières Port Authority,,,,
3508,,TV5 Québec Canada,,,,
3509,,Vancouver Fraser Port Authority,,,,
3510,,Vancouver International Airport Authority,,,,
3511,,Victoria Airport Authority,,,,
3512,,Waterfront Toronto,,,,
3513,,Wildlife Habitat Canada,,,,
3514,,Windsor Port Authority,,,,
3515,,Winnipeg Airports Authority Inc.,,,,
3516,,Canadian Foundation for Healthcare Improvement (CFHI),,,,
3517,,Healthcare Excellence Canada (HEC),,,,
3518,,Aboriginal Healing Foundation,,,,
3519,,Canada Commonwealth Legacy Fund,,,,
3520,,Canadian Foundation for Climate and Atmospheric Sciences,,,,
3521,,Canadian International Grains Institute,,,,
3522,,"Canadian Wheat Board, The",,,,
3523,,Centre national multisport-Montréal,,,,
3524,,First Nations Financial Management Board,,,,
3525,,First Nations Tax Commission,,,,
3526,,Health Council of Canada,,,,
3527,,International Centre for Human Rights and Democratic Development,,,,
3528,,PrioNet Canada,,,,
3531,,Last Post Fund,,,,
3532,,"Vanier Institute of the Family, The",,,,
3543,,Physical Resources Bureau,,,,
3545,,Consulting and Audit Canada Revolving Fund,,,,
3547,,Passport Canada,,,,
3548,,Payroll System General Ledger,,,,
3549,,Public Service Superannuation,,,,
3552,,Bank of Canada Museum,,,,
3553,,Canada Agriculture and Food Museum,,,,
3554,,Canada Aviation and Space Museum,,,,
3555,,Canada Firearms Centre,,,,
3556,,Canada Research Chairs,,,,
3558,,Canadian Judicial Council,,,,
3559,,Canadian Special Operations Forces Command,,,,
3560,,Canadian Trade Commissioner Service,,,,
3561,,Canadian War Museum,,,,
3562,,Communications Research Centre Canada,,,,
3563,,Competition Bureau Canada,,,,
3565,,Court Martial Appeal Court of Canada,,,,
3566,,Democratic Institutions,,,,
3568,,Environmental Protection Review Canada,,,,
3569,,Federal Court of Appeal,,,,
3570,,Federal Court of Canada,,,,
3572,,Historic Sites and Monuments Board of Canada,,,,
3573,,Independent Review Panel for Defence Acquisition,,,,
3574,,Intergovernmental Affairs,,,,
3575,,Judicial Compensation and Benefits Commission,,,,
3577,,Leader of the Government in the House of Commons,,,,
3578,,Management Advisory Board for the RCMP,,,,
3579,,National Security and Intelligence Review Agency,,,,
3580,,National Seniors Council,,,,
3581,,Occupational Health and Safety Tribunal Canada,,,,
3582,,Office of the Chief Military Judge,,,,
